[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
   147.49,   92.89,   92.95,   92.36,   93.06,   93.08,   92.90,   92.96,   92.45,   93.10,   93.15
   149.62,   92.92,   92.97,   92.37,   93.08,   93.10,   92.94,   92.99,   92.50,   93.07,   93.11
   151.79,   92.94,   92.98,   92.39,   93.10,   93.11,   92.94,   93.03,   92.51,   93.07,   93.13
   153.99,   92.95,   92.99,   92.41,   93.12,   93.14,   92.92,   93.02,   92.58,   93.18,   93.19
   156.22,   92.98,   93.00,   92.43,   93.14,   93.15,   92.98,   93.00,   92.51,   93.21,   93.24
   158.49,   93.00,   93.02,   92.45,   93.16,   93.17,   92.98,   93.01,   92.52,   93.18,   93.20
   160.79,   93.01,   93.04,   92.46,   93.17,   93.19,   93.00,   93.07,   92.60,   93.21,   93.22
   163.12,   93.01,   93.07,   92.48,   93.20,   93.20,   93.02,   93.12,   92.54,   93.25,   93.29
   165.48,   93.05,   93.07,   92.50,   93.22,   93.22,   93.02,   93.13,   92.56,   93.21,   93.22
   167.88,   93.05,   93.09,   92.51,   93.23,   93.23,   93.02,   93.10,   92.66,   93.20,   93.24
   170.31,   93.07,   93.11,   92.53,   93.26,   93.25,   93.04,   93.12,   92.63,   93.29,   93.27
   172.78,   93.09,   93.13,   92.54,   93.27,   93.26,   93.12,   93.09,   92.66,   93.29,   93.31
   175.29,   93.10,   93.14,   92.57,   93.30,   93.27,   93.11,   93.14,   92.66,   93.31,   93.35
   177.83,   93.13,   93.14,   92.58,   93.31,   93.30,   93.13,   93.17,   92.71,   93.37,   93.34
   180.41,   93.14,   93.16,   92.61,   93.33,   93.30,   93.16,   93.22,   92.70,   93.34,   93.35
   183.02,   93.15,   93.17,   92.65,   93.35,   93.32,   93.13,   93.22,   92.70,   93.35,   93.39
   185.67,   93.18,   93.19,   92.67,   93.38,   93.33,   93.14,   93.23,   92.75,   93.38,   93.39
   188.36,   93.18,   93.21,   92.69,   93.40,   93.36,   93.14,   93.21,   92.75,   93.37,   93.37
   191.10,   93.20,   93.24,   92.70,   93.41,   93.38,   93.20,   93.24,   92.78,   93.45,   93.41
   193.87,   93.23,   93.27,   92.74,   93.44,   93.42,   93.28,   93.26,   92.84,   93.47,   93.45
   196.68,   93.24,   93.29,   92.75,   93.46,   93.43,   93.25,   93.27,   92.90,   93.51,   93.45
   199.53,   93.26,   93.31,   92.77,   93.49,   93.46,   93.25,   93.32,   92.91,   93.55,   93.48
   202.42,   93.28,   93.33,   92.78,   93.50,   93.48,   93.26,   93.35,   92.88,   93.51,   93.53
   205.35,   93.30,   93.36,   92.80,   93.52,   93.50,   93.25,   93.37,   92.88,   93.54,   93.55
   208.33,   93.33,   93.39,   92.83,   93.56,   93.51,   93.30,   93.42,   92.88,   93.53,   93.56
   211.35,   93.35,   93.40,   92.85,   93.57,   93.53,   93.35,   93.43,   92.91,   93.55,   93.61
   214.41,   93.36,   93.42,   92.86,   93.60,   93.56,   93.35,   93.41,   92.96,   93.61,   93.58
   217.52,   93.39,   93.45,   92.89,   93.62,   93.58,   93.39,   93.44,   93.03,   93.66,   93.58
   220.67,   93.41,   93.48,   92.91,   93.65,   93.60,   93.40,   93.47,   93.06,   93.68,   93.63
   223.87,   93.43,   93.49,   92.93,   93.67,   93.63,   93.40,   93.54,   93.00,   93.71,   93.68
   227.12,   93.46,   93.53,   92.95,   93.70,   93.65,   93.44,   93.53,   93.02,   93.69,   93.70
   230.41,   93.48,   93.55,   92.98,   93.73,   93.67,   93.48,   93.52,   93.05,   93.72,   93.72
   233.75,   93.51,   93.57,   93.00,   93.76,   93.69,   93.52,   93.61,   93.07,   93.77,   93.74
   237.14,   93.53,   93.60,   93.03,   93.78,   93.72,   93.54,   93.63,   93.12,   93.79,   93.76
   240.57,   93.56,   93.63,   93.05,   93.81,   93.74,   93.50,   93.60,   93.17,   93.82,   93.76
   244.06,   93.58,   93.65,   93.09,   93.84,   93.78,   93.54,   93.66,   93.21,   93.84,   93.79
   247.60,   93.61,   93.68,   93.10,   93.88,   93.80,   93.60,   93.66,   93.20,   93.87,   93.84
   251.19,   93.64,   93.72,   93.14,   93.90,   93.83,   93.63,   93.68,   93.19,   93.93,   93.87
   254.83,   93.67,   93.74,   93.17,   93.94,   93.87,   93.71,   93.76,   93.25,   93.95,   93.93
   258.52,   93.70,   93.77,   93.20,   93.97,   93.89,   93.71,   93.79,   93.32,   94.01,   93.95
   262.27,   93.73,   93.80,   93.22,   94.00,   93.92,   93.70,   93.85,   93.28,   94.00,   93.95
   266.07,   93.76,   93.83,   93.25,   94.04,   93.95,   93.72,   93.88,   93.33,   94.01,   93.96
   269.93,   93.79,   93.87,   93.27,   94.07,   93.99,   93.75,   93.82,   93.37,   94.06,   94.01
   273.84,   93.82,   93.91,   93.30,   94.10,   94.02,   93.80,   93.90,   93.39,   94.13,   94.02
   277.81,   93.86,   93.93,   93.34,   94.14,   94.05,   93.88,   93.93,   93.42,   94.17,   94.11
   281.84,   93.88,   93.97,   93.36,   94.18,   94.08,   93.90,   93.95,   93.48,   94.21,   94.12
   285.92,   93.92,   94.00,   93.39,   94.21,   94.12,   93.91,   94.01,   93.48,   94.23,   94.19
   290.07,   93.95,   94.04,   93.43,   94.25,   94.15,   93.95,   94.08,   93.54,   94.27,   94.19
   294.27,   93.99,   94.08,   93.46,   94.29,   94.19,   93.96,   94.10,   93.52,   94.26,   94.22
