S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_102
DATE=2022/09/06 14:42:04
FREQ , SPL, Imp, Phs, 2nd, 3rd
  971.63, 72.280, 20.281,172.400,  9.390,  9.220
  985.71, 72.150, 20.281,172.000,  4.770,  8.590
 1000.00, 72.070, 20.258,170.400,  8.500,  9.060
 1014.50, 72.080, 20.281,170.600,  6.930,  8.870
 1029.20, 72.190, 20.258,169.600,  7.660,  8.920
 1044.12, 72.280, 20.258,170.000,  8.110,  6.630
 1059.25, 72.410, 20.258,169.000,  9.450,  8.170
 1074.61, 72.540, 20.258,170.400,  7.810,  7.690
 1090.18, 72.520, 20.258,171.000,  8.830,  7.330
 1105.99, 72.450, 20.258,171.200,  9.390,  6.670
 1122.02, 72.460, 20.258,171.000,  8.550,  9.950
 1138.28, 72.490, 20.258,170.400,  8.100,  9.470
 1154.78, 72.580, 20.258,170.800,  8.440,  9.190
 1171.52, 72.690, 20.258,170.200, 10.180,  9.410
 1188.50, 72.860, 20.258,170.000,  7.770, 10.130
 1205.73, 72.960, 20.258,171.200, 11.440,  9.850
 1223.21, 73.060, 20.258,171.400, 10.380,  9.860
 1240.94, 73.180, 20.258,172.800, 11.400, 10.370
 1258.93, 73.240, 20.258,173.800,  8.540,  9.750
 1277.17, 73.180, 20.258,175.000,  9.780,  9.560
 1295.69, 73.080, 20.258,175.400,  8.250, 10.210
 1314.47, 73.070, 20.258,176.200, 10.210,  9.130
 1333.52, 73.000, 20.258,176.400,  9.550, 11.060
 1352.85, 72.940, 20.258,175.800,  7.360,  8.070
 1372.46, 72.940, 20.258,176.200,  9.760,  8.390
 1392.36, 73.030, 20.258,175.600, 10.300,  8.690
 1412.54, 73.170, 20.258,176.800,  9.880,  9.500
 1433.01, 73.160, 20.258,177.000,  8.870, 10.400
 1453.78, 73.140, 20.258,177.800,  9.790, 10.720
 1474.86, 73.020, 20.258,178.000,  9.430,  8.700
 1496.24, 73.010, 20.258,178.400,  9.760, 10.150
 1517.92, 73.090, 20.258,177.000, 10.950, 10.320
 1539.93, 73.250, 20.281,177.400, 15.630, 10.580
 1562.25, 73.380, 20.281,178.600, 18.050, 11.540
 1584.89, 73.320, 20.304,179.200, 17.840, 12.160
 1607.87, 73.310, 20.304,179.800, 22.100,  9.950
 1631.17, 73.380, 20.304,179.200, 22.240, 10.030
 1654.82, 73.480, 20.304,-179.600, 14.700, 11.510
 1678.80, 73.540, 20.281,-179.000, 13.120, 10.790
 1703.14, 73.610, 20.281,-178.600, 13.150, 11.110
 1727.83, 73.660, 20.258,-178.000,  8.760, 10.100
 1752.87, 73.800, 20.281,-176.200, 11.760, 11.220
 1778.28, 73.810, 20.258,-175.400, 10.320, 10.600
 1804.06, 73.840, 20.258,-172.600, 12.890, 11.300
 1830.21, 73.350, 20.258,-171.000, 11.200, 10.930
 1856.74, 73.080, 20.258,-172.200, 11.200, 11.250
 1883.65, 73.120, 20.281,-173.400,  9.060, 10.450
 1910.95, 73.170, 20.281,-173.600, 11.610,  9.940
 1938.65, 73.320, 20.281,-173.600, 10.040, 10.070
 1966.75, 73.280, 20.281,-172.400, 15.540,  9.840
 1995.26, 73.260, 20.281,-173.400, 16.730, 12.390
 2024.18, 73.510, 20.281,-173.400, 14.280,  8.850
 2053.53, 73.700, 20.281,-172.000, 11.450, 10.550
 2083.29, 73.860, 20.281,-170.000, 12.450, 10.100
 2113.49, 73.980, 20.304,-167.600, 15.790, 11.590
 2144.12, 73.820, 20.281,-165.000, 15.830, 10.910
 2175.20, 73.570, 20.304,-162.800, 11.720, 10.130
 2206.73, 73.260, 20.304,-161.200,  9.360, 12.400
 2238.72, 73.030, 20.328,-161.000, 11.160, 11.790
 2271.17, 72.820, 20.304,-159.200, 11.530,  9.990
 2304.09, 72.330, 20.304,-157.800, 11.300,  9.520
 2337.49, 71.600, 20.304,-157.400, 10.630, 10.480
 2371.37, 71.270, 20.304,-161.800, 10.930,  9.140
 2405.75, 71.170, 20.304,-164.400, 13.350, 10.840
 2440.62, 71.010, 20.304,-165.000, 12.950, 10.060
 2476.00, 71.090, 20.304,-168.400, 10.640,  9.690
 2511.89, 71.170, 20.304,-169.800, 11.050, 10.410
 2548.30, 71.360, 20.328,-171.800, 10.920, 11.100
 2585.23, 71.680, 20.328,-172.200, 11.230,  9.490
 2622.71, 71.960, 20.328,-170.000, 11.940, 12.310
 2660.73, 71.750, 20.328,-169.800, 11.740, 11.440
 2699.29, 71.660, 20.328,-171.400, 11.840, 10.390
 2738.42, 71.810, 20.328,-170.800, 11.530, 10.530
 2778.11, 71.810, 20.351,-171.000, 10.700, 10.790
 2818.38, 71.850, 20.351,-171.400, 11.620, 12.490
 2859.24, 71.890, 20.375,-171.600, 12.020, 11.830
 2900.68, 71.790, 20.375,-170.800, 11.840,  9.280
 2942.73, 71.830, 20.398,-172.600, 12.870, 10.730
 2985.38, 71.830, 20.398,-171.200, 12.890, 12.350
 3028.66, 71.440, 20.422,-174.000, 12.060,  9.870
 3072.56, 71.690, 20.422,-178.400, 14.410, 11.760
 3117.09, 72.560, 20.445,-178.600, 12.620, 11.670
 3162.28, 72.800, 20.469,-176.200, 13.990, 10.590
 3208.12, 73.020, 20.469,-176.600, 12.710, 11.480
 3254.62, 73.360, 20.492,-174.600, 14.290, 10.490
 3301.79, 73.550, 20.492,-171.800, 12.210, 11.580
 3349.65, 73.380, 20.516,-169.000,  9.690, 10.260
 3398.21, 72.900, 20.516,-167.000,  7.990, 11.470
 3447.47, 72.680, 20.540,-169.600, 12.090, 11.150
 3497.44, 72.680, 20.540,-169.600, 11.760, 10.770
 3548.13, 72.510, 20.540,-171.400, 13.870, 10.670
 3599.56, 72.840, 20.540,-174.000, 12.100, 11.170
 3651.74, 73.180, 20.563,-174.000, 12.870, 10.430
 3704.67, 73.400, 20.563,-172.600, 12.230,  9.640
 3758.37, 73.720, 20.563,-172.600, 11.410, 10.590
 3812.85, 73.980, 20.587,-169.000, 12.340, 10.190
 3868.12, 73.670, 20.587,-165.800, 11.860,  9.690
 3924.19, 73.060, 20.611,-164.200, 10.900, 10.630
 3981.07, 72.500, 20.634,-166.000, 10.800, 12.000
 4038.78, 71.950, 20.658,-169.000, 10.780, 11.450
 4097.32, 71.640, 20.682,-176.000, 10.130, 11.210
 4156.71, 71.930, 20.730,177.800, 11.150, 10.710
 4216.97, 72.280, 20.777,170.800, 14.360, 10.960
 4278.09, 73.630, 20.849,161.000, 13.270, 10.420
 4340.10, 75.570, 20.921,160.000, 13.120, 10.940
 4403.01, 77.170, 20.994,162.200, 13.420, 10.560
 4466.84, 78.650, 21.042,166.200, 15.440, 10.450
 4531.58, 80.070, 21.042,174.200, 14.790,  9.900
 4597.27, 80.810, 21.042,-175.400, 16.150, 10.520
 4663.91, 81.120, 21.042,-165.200, 16.750, 11.020
 4731.51, 80.960, 21.091,-156.400, 18.380, 11.080
 4800.10, 80.500, 21.164,-150.200, 19.420, 10.160
 4869.68, 80.370, 21.335,-146.200, 19.210, 10.850
 4940.26, 80.380, 21.582,-141.200, 20.400, 11.450
 5011.87, 80.330, 21.907,-133.600, 22.950, 12.930
 5084.52, 79.730, 22.136,-126.200, 25.060, 12.380
 5158.22, 78.850, 22.161,-120.800, 25.780, 13.480
 5232.99, 78.010, 21.958,-115.800, 24.190, 13.690
 5308.84, 76.210, 21.682,-114.000, 22.230, 11.310
 5385.80, 74.910, 21.409,-121.800, 18.580, 12.270
 5463.87, 75.350, 21.188,-131.000, 17.030, 12.240
 5543.07, 76.370, 21.091,-132.200, 14.430, 11.300
 5623.41, 77.070, 21.042,-128.000, 10.810, 12.710
 5704.93, 77.360, 21.066,-121.600, 12.010, 12.600
 5787.62, 76.690, 21.066,-114.000, 12.540, 12.730
